code,barcode,price,name,img,qty,cat
1011634,8711566470009,4623,Ketel One Orange Flavoured Vodka 70cl,/71172/0d8d289d-38a8-476d-94ce-1e533abc1b46.jpg,0,13
1011059,8711566013701,4223,Ketel One Vodka 70cl,/71172/957c624f-2f23-4a38-90b3-b4a481e55899.jpg,0,13
1016617,5011166013099,4223,Red Square Premium Vodka 1.5 Litre,/71172/9be6c56c-8a95-419e-8eac-4a2f2d67174c.jpg,0,13
258059,5011166061830,1499,Red Square Vodka 70cl,/1/e557b389-b223-406b-9579-2cec7fe24d7a.jpg,0,13
231812,4603400001439,1675,Russian Standard Original Vodka 70cl,/1/0c545773-2bbb-4672-a738-f1350f7d0b1e.jpg,0,13
260318,4603400002528,1579,Russian Standard Original Vodka 70cl PMP,/1/67bc75ab-1cfc-4886-8e70-5f26300aaeee.jpg,0,13
1014308,5391530350082,6023,Sausage Tree Pure Irish Vodka 70cl,/71172/b2df36a7-4843-4fa1-a9de-c59208a6deea.jpg,0,13
100572,5410316984607,1499,Smirnoff Green Apple Flavoured Vodka 70cl,/1/264c040a-5801-42ee-8968-ce11dba1e93d.jpg,0,13
100575,5410316991476,1499,Smirnoff Lime Flavoured Vodka 70cl,/1/1a244ab0-dd55-4df0-8734-93a4b9be7e97.jpg,0,13
1011510,5410316982474,2723,Smirnoff Raspberry Flavoured Vodka 70cl,/71172/23d4664d-1e85-4af3-bffd-e75a25d74579.jpg,0,13
772525,5410316442558,5023,Smirnoff Red Label Vodka 1.5L,/1/5b3c0721-0424-43b0-8291-70af389aec2d.jpg,0,13
209387,5410316442930,2849,Smirnoff Red Label Vodka 1L,/1/6015a6cb-b91c-4212-954c-877c55a0b3b5.jpg,1,13
249312,5410316963244,2049,Smirnoff Red Label Vodka 1L,/1/f7a3d107-6eb6-4584-af8d-484a44641847.jpg,0,13
1013539,5000277000982,5823,Aberfeldy 12-Year-Old Single Malt Scotch Whisky 700ml,/71172/85b5b54b-8194-4e23-a8f4-813fe326f5c5.jpg,0,14
1008787,3047100017849,5723,Aberlour Distillery 12 Years Old Speyside Single Malt Scotch Whisky 70cl,/1/74a2332f-9ac8-4075-a81d-30b4285145a6.jpg,0,14
1010766,4969265703308,4423,Akashi Japanese Blended Whisky 50cl,/71172/7aff3360-c3af-4e5d-8039-324e12215ef6.jpg,0,14
1011819,5010494195286,6323,Ardbeg 10 Years Old Single Malt Islay Scotch Whisky 70cl,/71172/d4586b4b-818f-4b74-8410-3323f9f94ec3.jpg,0,14
216483,5010496003565,2999,Auchentoshan American Oak Single Malt Scotch Whisky 70cl,/1/239e5acf-e473-41a4-ae95-68608a9b8eed.jpg,0,14
92623,5000387905535,6023,Bell's Blended Scotch Whisky 1.5L,/1/5349e6ac-89e9-449c-be15-6ebc29db4a51.jpg,0,14
92598,5000387905474,2175,Bell's Blended Scotch Whisky 70cl,/1/0e022055-56aa-41f1-bc7b-2a0765374dbb.jpg,0,14
250268,5000387905474,1579,Bell's Blended Scotch Whisky 70cl,/1/0e022055-56aa-41f1-bc7b-2a0765374dbb.jpg,0,14
92621,5000387905504,2999,Bell's Original,/1/5960dca5-c1df-48f3-a979-db528f14d0b6.jpg,0,14
1012099,5014218776256,5223,Big Peat Whisky,/71172/71f7c3b0-5ff8-419b-a202-aefcf0ed1539.jpg,0,14
1008786,5010496004494,4623,Bowmore No. 1 Single Malt Scotch Whisky 70cl,/71172/e4b5073e-9ae6-4ef4-976c-cb3fcb25fa0c.jpg,0,14
1011639,5000281048406,6223,Bulleit Bourbon 10 Year Old,/71172/5e0d2c8a-70c0-41c4-a6af-61af573e809d.jpg,0,14
214052,5000281038018,3299,Bulleit Bourbon Frontier Whiskey 70cl,/1/161b8a61-643e-4a04-a6c8-fb8c9c31c7d5.jpg,0,14
1008812,82000765585,5023,Bulleit Rye,/71172/8fb71b0d-d898-4827-a315-7908ec6c8e7e.jpg,0,14
110907,5029704217366,4799,Bunnahabhain Islay Single Malt Scotch Whisky 70cl,/1/5cdf35c9-0f98-480f-a05e-d1a25b31a9b5.jpg,0,14
70396,5055966810069,2999,Bushmills Black Bush Irish Whiskey 70cl,/1/f44ffc81-4393-42ee-b26e-265f5f8f4b9e.jpg,0,14
70176,5055966800022,2699,Bushmills Irish Whiskey 70cl,/1/ac387a49-c0d9-4be9-94fa-aac84340b3c8.jpg,0,14
72123,5055966820037,3749,Bushmills Single Malt Irish Whiskey Aged 10 years 700ml,/1/319f0ee5-a461-432a-95a8-0f28786e530c.jpg,0,14
1011633,5000267125459,7623,Cardhu Gold Reserve Single Malt Scotch Whisky 70cl,/71172/04bf8e1f-8139-4073-823c-5cb29ea237cb.jpg,0,14
176362,5000299212936,3149,Chivas Regal 12 Year Old Blended Scotch Whisky 70cl,/1/db0659bc-96f9-4523-a43e-2f9a37dfe635.jpg,0,14
1008823,5000299225004,9823,Chivas Regal 18 Year Old Gold Signature Blended Scotch Whisky 70cl,/2/a154ffa3-cb87-48d4-9a72-52a2e5e89c4f.jpg,0,14
1012263,5065000482039,9623,Compass Box Hedonism Blended Grain Scotch Whisky 70cl,/71172/140243d3-e6be-4b22-9951-4f6a35d105e5.jpg,0,14
1012075,5065000482190,7023,Compass Box The Peat Monster Blended Malt Scotch Whisky 70cl,/71172/2e1251d0-16a1-41d3-a233-d44a77572814.jpg,0,14
1012074,5065000482602,7203,Compass Box Whisky Co. The Spice Tree Blended Malt Scotch Whisky 70cl,/71172/f6ed9945-c300-4d44-953b-f75849bedae8.jpg,0,14
1011635,5000267165493,4823,Copper Dog Blended Scotch Whisky 70cl,/71172/25d1c4f2-a3e7-4c74-bc2e-3dfc11913546.jpg,0,14
1008798,5000281005430,5823,Cragganmore 12 Years Old Single Malt Scotch Whisky 70cl,/71172/f886f397-792b-4fba-9fe8-59ee9fd8cd19.jpg,0,14
1008788,5000281005423,6023,Dalwhinnie 15 Years Old Single Malt Scotch Whisky 70cl,/71172/aaba8e47-3b00-4491-ab92-b98cb11dc163.jpg,0,14
1013536,5000277002450,5023,Dewar's 12-Year-old Blended Scotch Whisky 70cl,/71172/32b1a27d-79a0-4851-ba7b-da5d5a26c4b6.jpg,0,14
1011162,88004005764,6023,Eagle Rare Whiskey,/2/1b510852-c83b-4783-8217-d087ea392ed0.jpg,0,14
1012277,634324891909,7623,FEW  Bourbon,/71172/a2160c8d-0a8d-4932-b712-28895908a62b.jpg,0,14
1011717,4997738170821,5623,Fuyu Japanese Whisky,/71172/33859515-3608-46fd-bfba-61aea19b5793.jpg,0,14
232847,5000299613443,2399,Glen Keith Single Malt Scotch Whisky 70cl,/1/6518fd6a-68db-40d0-b062-2bb309da0f89.jpg,0,14
730870,5010494508307,2199,Glen Moray Speyside Single Malt Scotch Whisky 70cl,/1/94afe974-17af-4f67-9544-77e3d7a378e2.jpg,0,14
263198,5013967014275,1998,Glenfairn Floral Highland Single Malt Scotch Whisky 70cl,/1/78b6ab19-bded-4dd3-bb2c-42577e1f0820.jpg,0,14
263212,5013967014268,1998,Glenfairn Sweet Speyside Single Malt Scotch Whisky 70cl,/1/ee999ba1-ed84-40a0-bc48-af4c2ef55b66.jpg,0,14
818370,5010327000176,4049,Glenfiddich 12 Year Old Single Malt Scotch Whisky 70cl,/1/71d10181-55a5-4370-8b73-a7ce74144795.jpg,0,14
1013060,5010852026634,5023,"Glengoyne 10 Year Old Highland Single Malt Scotch Whisky, 70cl",/71172/027004d8-5f37-4cf3-9c7a-8187edab26ae.jpg,0,14
1013524,5010852026641,5623,"Glengoyne 12 Year Old Highland Single Malt Whisky, 70cl",/71172/67c99f09-2715-43fc-b19f-fc7c8c14aada.jpg,0,14
